volgorde,instantie,titel,type,oorspronkelijke_eigenaar,nieuwe_houder,statuswijziging,hoe,titel_communicatie,ontvanger_communicatie,communicatie_type,contactvorm,gevraagde_actie,aard,aard_toelichting,wanneer,aantal,doelgroep,waarom_eerste_3_maanden,knelpunten,bron
50,SVB,Brief beeindiging recht AOW,Communicatie,,,,,Brief beeindiging recht AOW,Nabestaanden,Informatieverstrekking,Brief,Geen,Wet,Recht op AOW stopt bij overlijden,ongeveer twee weken,,Particulieren,recht op AOW stopt bij overlijden,geen verplichting,
51,SVB,Algemene nabestaandenuitkering,Recht,x,Nabestaanden,Nieuw,Handmatig,,,,,,Recht,"Recht op Anw als partner overlijdt en nabestaande minderjarige kinderen heeft of arbeidsongeschikt is, recht afhankelijk van inkomen nabestaande.",,,Particulieren,"recht ontstaat bij overlijden partner, inkomen partner valt weg, Anw zorgt voor inkomen en kan nodig zijn om in bestaan te kunnen voorzien",geen verplichtingen,
52,SVB,brief over mogelijk recht op Algemene nabestaandenuitkering,Communicatie,,,,,brief over mogelijk recht op Algemene nabestaandenuitkering,Nabestaanden,Informatieverstrekking,Brief,checken via internet of telefonisch of er mogelijk recht bestaat op Anw-uitkering,Recht,"Als iemand die in Nederland woont, overlijdt en een partner achterlaat stuurt de SVB een brief waarin de nabestaande wordt gewezen op de mogelijkheid een nabestaandenuitkering via internet aan te vragen.",ongeveer twee weken,,Particulieren,"recht ontstaat bij overlijden partner, inkomen partner valt weg, Anw zorgt voor inkomen en kan nodig zijn om in bestaan te kunnen voorzien",geen verplichtingen,
53,SVB,Recht op kinderbijslag,Recht,,Nabestaande,Wijziging,Handmatig,,,,,,Recht,,,,Particulieren,Recht ontstaat bij overlijden partner. Kinderbijslag is een financiële ondersteuning,,
54,SVB,Brief aanvraag kinderbijslag als rechthebbende ouder is overleden,Communicatie,,,,,Brief over recht op kinderbijslag.,Nabestaande,Informatieverstrekking,Brief,Aanvraag kinderbijslag,Recht,Als overledene aanvrager was van de kinderbijslag dan moet de nabestaande een aanvraag kinderbijslag indienen om het recht over te laten gaan naar nabestaande.,,,Particulieren,Recht ontstaat bij overlijden partner. Kinderbijslag is een financiële ondersteuning.,,
55,CAK,Wmo (Wet maatschappelijke ondersteuning),Recht / Verplichting,Overledene,evt verekenen met nalatenschap,"Vervalt, evt verrekening nodig",,,,,,,,,,,Particulieren,,,Website CAK
56,CAK,Facturen ontvangen zorg / eigen bijdrage,,,,,,Factuur / correctiefacturen,Gericht aan overledene / nabestaanden,Factuur / correctiefacturen,Brief,Betaling / veel betaalde bedrag terugvragen met contactformulier. Aanleveren van gevraagde informatie,,"Na het overlijden van uw familielid, partner of bekende sturen we meestal nog 1 of 2 facturen. Hierop staat de eigen bijdrage voor de hulp die tot en met de overlijdensdatum is verleend. Ontvangt u een factuur voor hulp of ondersteuning in de periode na het overlijden? Dan hoeft u deze niet te betalen. Er volgt een correctiefactuur voor. U hoeft hier niets voor te doen.",?,?,Particulieren,?,,Website CAK
57,CAK,Wlz (Wet langdurige zorg),Recht / Verplichting,,,"Vervalt, evt verrekening nodig",,,,,,,Wet,Wet Langdurige zorg,,,Particulieren,,,Website CAK
58,CAK,Facturen eigen bijdrage,,,,,,Factuur / correctiefacturen,Gericht aan overledene / nabestaanden,Factuur / correctiefacturen,Brief,Rekening bekend:automatische terugstorting of automatische incasso. Anders rekeningnummer doorgeven / factuur betalen Soms verklaring van erfrecht nodig,Beleid,,Meeste administratie binnen 3 maanden. Soms tot 6 maanden na overlijden als gevolg van wijzigingen in administratie Belastingdienst of zorgkantoor,?,Particulieren,,,Website CAK
59,CAK,Zorgpremie betalingsregeling,Verplichting,Overledene,x,"Vervalt, evt verrekening nodig",,,,,,,Wet,?,,,,,,Website CAK
60,CAK,?,Geen communicatie???,,,1/,,Brief premieschuld,Erven,Informatieverstrekking,Brief,"Geen (Alleen als er teveel is betaald, dan verklaring van verwantschap of erfrecht sturen)",Beleid,,?,?,,,,Website CAK
61,CJIB,Verkeersboetes,Verplichting,Overledene,x,Vervalt,Automatisch,,,,,Geen,Beleid,Verkeersboetes worden op het moment dat wij vernemen via de BRP dat iemand is overleden afgeboekt. Betalingen die daarna alsnog op de boete worden ontvangen worden teruggestort. Hier is dus geen sprake van een nog openstaande betalingsverplichting die door een nabestaande moet worden opgepakt.,,,Particulieren,,,
62,CJIB,Verkeersboetes,Geen communicatie???,,,,,,,,,,,,,,Particulieren,,,
63,CJIB,Strafrechtelijke sancties,Verplichting,Overledene,x,Vervalt,Automatisch,,,,,,?,"Strafrechtelijke sancties (zowel geldelijk, als vrijheidsbeperkend, als vrijheidsbenemend), staan op naam van de dader. Op het moment dat de dader overlijdt stopt de tenuitvoerlegging. Hier is dus ook geen sprake van (betalings)verplichtingen die door een nabestaande moeten worden opgepakt. Strafrechtelijke aansprakelijkheid en straf worden dus niet geërfd.",,,Particulieren,,,
64,CJIB,Strafrechtelijke sancties,Geen communicatie???,,,,,Communicatie???,,,,,,,,,Particulieren,,,
65,CJIB,Schadevergoedingsreglingen (Als de dader overlijdt = betalende partij),Verplichting,Overledene,x,Vervalt,Automatisch,,,,,,?,Als de dader (betalende partij) overlijdt: Schadevergoedingsmaatregelen worden niet ten uitvoer gelegd na overlijden van de veroordeelde en reeds gestarte tenuitvoerlegging wordt gestopt. Hier is dus geen sprake van een nog openstaande betalingsverplichting die door een nabestaande moet worden opgepakt.,,,Particulieren,,,
66,CJIB,Schadevergoedingsreglingen,Geen communicatie???,,,,,Communicatie???,,,,,,,,,Particulieren,,,
67,CJIB,Schadevergoedingsreglingen (Als slachtoffer overlijdt = ontvangende partij),Recht,Overledene,Erven,Recht blijft bestaan,Handmatig / automatisch,,,,,,?,"Als het slachtoffer overlijdt wordt er uitbetaald op het rekeningnummer van het slachtoffer. Als dit rekeningnummer niet meer bestaat, wordt er uitbetaald aan een wettelijke erfgenaam.",,,Particulieren,,,
68,CJIB,Schadevergoedingsreglingen (Als slachtoffer overlijdt = ontvangende partij),Geen communicatie???,,,,,Communicatie???,,,,De wettelijk erfgenaam moet het CJIB een ‘Verklaring van Erfrecht’ te sturen. Staat een erfgenaam in het vonnis? Dan krijgt de erfgenaam automatisch de schadevergoeding.,,,,,Particulieren,,,
69,CJIB,OI/CRI vorderingen,Verplichtingen,Overledene,x,Vervalt,Automatisch,,,,,,,Bij OI/CRI vorderingen (inning en incasso voor andere overheidspartijen) is het aan de opdrachtgever van CJIB om aan te geven wat er moet gebeuren als iemand overlijdt.,,,Particulieren,,,
70,CJIB,OI/CRI vorderingen,Geen communicatie???,,,,,Communicatie?,,,,,,,,,Particulieren,,,
71,CJIB,Ontnemingsmaatregelen,Verplichting,Overledene,"Erven, nalatenschap",,,,,,,,,"Ontnemingsmaatregelen worden niet ten uitvoer gelegd na overlijden van de veroordeelde en reeds gestarte tenuitvoerlegging wordt gestopt. Ter info: dit komt naar schatting tussen de 30-50 keer per jaar voor. De ontnemingsmaatregel gaat niet over op de erfgenamen, maar er kan wel verhaal gehaald worden op de nalatenschap. Doorgaans wordt hier een bevraging bij iCOV gedaan of wordt in het testamentregister gekeken en worden de erven aangeschreven. Dit kan nabestaanden dus raken, als ze erfgenaam zijn. Het is daarmee een (betalings)verplichting op naam van de nabestaande geworden en daarmee valt het volgends de definitie van het traject buiten de scope.",,,Particulieren,,,
72,CJIB,Ontnemingsmaatregelen,Geen communicatie???,,,,,,,,,,,,"Het kan zijn dat nabestaanden waar het hier om gaat in eerste 3 maanden hierover worden geïnformeerd, want dat gaat geautomatiseerd (BRP - CJIB register - E-GOV/ Testamentregister - aanschrijven).",hoogstens 30x per jaar,Particulieren,,,
73,RDW,Wettelijke tenaamstelling auto (art 29 WvW,Verplichting,Overledene,de overledene tot aan de executie van het testament. Na executie dient de rechthebbende zelf actie te ondernemen,Verplichting blijft,Handmatig,,,Verplichte administratieve handeling,geen (website t infoeva),Kentekenbewijs overschrijven op naam van nieuwe eigenaar,wet,,5 weken na aanvaarding erfenis / na overlijden partner,,Particulieren/zakelijk,,,
74,RDW,Contactbrief,Communicatie,de 7e dag na ontvangst van het bericht van overlijden via BRP een eerste brief aan de overledene,,,,Contactbrief,overledene,Informatie,Brief,kennisgeving van actie,Beleid,"Gericht op vergroten kans op daadwerkelijk bereiken nabestaande. Signaal komt van BRP, communicatie gaat naar laatst bekende adres",Ongeveer 1 week,,,"Als het adres niet meer geldig is, is het lastig om met nabestaanden in contact te komen.",,
75,RDW,Rappel,Communicatie,1e rappel na drie maanden aan de nabestaande wiens adres voorkomt in het bestand van de Belastingdienst,"2e rappel na 6 maanden aan overeldene en nabestaanden en geeft een 'beeindiging van tenaamstelling aan"".",,,idem,idem,idem,idem,idem,,,3 maanden,,,,,
76,RDW,APK,Verplichting,Overledene,de overledene tot aan de executie van het testament. Na executie dient de rechthebbende zelf actie te ondernemen,Verplichting blijft,Handmatig,,,,,,,,,,,,,
77,RDW,APK herinneringsbrief,Communicatie,wordt niet verstuurd aan overledene of nabestaanden,,,,APK herinneringsbrief,,,,Stopt niet automatisch. Geen sanctionering,Beleid,Welke wet? Is een standaardbrief. Niet gericht aan nabestaanden.,Afhankelijk van afloop APK,?,Gericht aan overleden eigenaar auto,Is afhankelijk van het verlopen van APK,Er wordt niet automatisch gekeken of eigenaar is overleden. Brieven komen niet aan of nabestaanden kunnen niet ernaar handelen.,
78,RDW,APK aanmaning en sancties,Communicatie en verplichting,wordt niet opgelegd aan overledene en/ of nabestaande,,,,APK aanmaning en sancties,,,,Stopt niet automatisch. Geen sanctionering,Beleid,"Welke wet? Indien APK niet is verlengt, is er sprake van een overtreding. Dat gaat automatisch, door CJIB. Pas als er na de aanmaning geen reactie is wordt er onderzocht waarom.",Afhankelijk van afloop APK,?,Gericht aan overleden eigenaar auto,Is afhankelijk van het verlopen van APK,Er wordt niet automatisch gekeken of eigenaar is overleden. Brieven komen niet aan of nabestaanden kunnen niet ernaar handelen.,
79,WAM verzekering,WA-verzekering,Verplichting,Overledene,"Erven, executeur / nieuwe eigenaar",Verplichting blijft,Handmatig,,,,,Stopt niet automatisch.,,,,,,,,
80,WAM verzekering,WA-verzekering sancties,,,,,,,,,,,,,,,,,,
81,BOIP en Octrooicentrum,,,,,,,,,,,,,,,,,,,
82,UWV,,,,,,,,,,,,,,,,,,,
83,Gemeenten,Gemeentelijke belastingen,Verplichting,Overledene,Geen,Vervalt,Automatisch,,,,,,,,,,,,,
85,DUO,Studieschulden,,,,,,,,,,,,,,,,,,
